0.0169 	 0.0093
0.0171 	 0.0255
0.0172 	 -0.0580
0.0173 	 -0.1628
0.0174 	 -0.0968
0.0176 	 0.1288
0.0177 	 0.2252
0.0178 	 -0.0008
0.0180 	 -0.2509
0.0181 	 0.0859
0.0182 	 1.2220
0.0184 	 2.5545
0.0185 	 3.2010
0.0186 	 2.9636
0.0187 	 2.4986
0.0189 	 2.4260
0.0190 	 2.5716
0.0191 	 2.3583
0.0193 	 1.7058
0.0194 	 1.1198
0.0195 	 0.9504
0.0197 	 1.0031
0.0198 	 0.9768
0.0199 	 0.8884
0.0201 	 0.8642
0.0202 	 0.8285
0.0203 	 0.6718
0.0204 	 0.5142
0.0206 	 0.5262
0.0207 	 0.6320
0.0208 	 0.6464
0.0210 	 0.5839
0.0211 	 0.5750
0.0212 	 0.5745
0.0214 	 0.4299
0.0215 	 0.1879
0.0216 	 0.0558
0.0217 	 0.0697
0.0219 	 0.0693
0.0220 	 0.0089
0.0221 	 0.0212
0.0223 	 0.1236
0.0224 	 0.1350
0.0225 	 -0.0167
0.0227 	 -0.1478
0.0228 	 -0.1094
0.0229 	 -0.0082
0.0230 	 0.0124
0.0232 	 0.0103
0.0233 	 0.0839
0.0234 	 0.1440
0.0236 	 0.0585
0.0237 	 -0.0958
0.0238 	 -0.1399
0.0240 	 -0.0705
0.0241 	 -0.0228
0.0242 	 -0.0173
0.0243 	 0.0403
0.0245 	 0.1301
0.0246 	 0.1106
0.0247 	 -0.0333
0.0249 	 -0.1324
0.0250 	 -0.0870
0.0251 	 -0.0069
0.0253 	 -0.0093
0.0254 	 -0.0255
0.0255 	 0.0580
0.0257 	 0.1628
0.0258 	 0.0968
0.0259 	 -0.1288
0.0260 	 -0.2252
0.0262 	 0.0008
0.0263 	 0.2509
0.0264 	 -0.0859
0.0266 	 -1.2220
0.0267 	 -2.5545
0.0268 	 -3.2010
0.0270 	 -2.9636
0.0271 	 -2.4986
0.0272 	 -2.4260
0.0273 	 -2.5716
0.0275 	 -2.3583
0.0276 	 -1.7058
0.0277 	 -1.1198
0.0279 	 -0.9504
0.0280 	 -1.0031
0.0281 	 -0.9768
0.0283 	 -0.8884
0.0284 	 -0.8642
0.0285 	 -0.8285
0.0286 	 -0.6718
0.0288 	 -0.5142
0.0289 	 -0.5262
0.0290 	 -0.6320
0.0292 	 -0.6464
0.0293 	 -0.5839
0.0294 	 -0.5750
0.0296 	 -0.5745
0.0297 	 -0.4299
0.0298 	 -0.1879
0.0299 	 -0.0558
0.0301 	 -0.0697
0.0302 	 -0.0693
0.0303 	 -0.0089
0.0305 	 -0.0212
0.0306 	 -0.1236
0.0307 	 -0.1350
0.0309 	 0.0167
0.0310 	 0.1478
0.0311 	 0.1094
0.0312 	 0.0082
0.0314 	 -0.0124
0.0315 	 -0.0103
0.0316 	 -0.0839
0.0318 	 -0.1440
0.0319 	 -0.0585
0.0320 	 0.0958
0.0322 	 0.1399
0.0323 	 0.0705
0.0324 	 0.0228
0.0326 	 0.0173
0.0327 	 -0.0403
0.0328 	 -0.1301
0.0329 	 -0.1106
0.0331 	 0.0333
